,,,,,,,
,"Time (hours)
",0,2,4,6,8,24
,Control,,,,,,
,1,1.00E+04,2.70E+03,5.04E+03,1.07E+04,1.20E+04,4.24E+04
,2,6.33E+03,5.04E+03,4.57E+03,5.04E+03,1.03E+04,5.30E+04
,3,3.16E+03,1.05E+03,3.16E+03,8.44E+03,6.45E+03,2.67E+04
,4,3.16E+03,2.93E+03,3.98E+03,5.16E+03,5.98E+03,2.56E+04
,5,9.73E+03,1.23E+04,1.36E+04,3.21E+04,3.13E+04,1.31E+05
,5mg,,,,,,
,1,1.99E+03,6.45E+03,4.69E+03,6.45E+03,7.38E+03,2.94E+04
,2,1.29E+03,6.80E+03,2.34E+03,3.87E+03,5.27E+03,8.09E+03
,3,3.75E+03,2.70E+03,3.16E+03,3.87E+03,6.33E+03,1.49E+04
,4,2.11E+03,2.81E+03,5.27E+03,4.80E+03,5.27E+03,1.35E+04
,5,1.05E+03,2.70E+03,4.34E+03,4.57E+03,8.09E+03,1.62E+04
,50mg,,,,,,
,1,6.80E+03,7.62E+03,1.35E+04,2.09E+04,2.31E+04,8.35E+05
,2,9.14E+03,2.93E+03,3.87E+03,1.07E+04,1.77E+04,3.97E+04
,3,5.39E+03,3.40E+03,1.99E+03,6.33E+03,9.49E+03,2.86E+04
,4,8.44E+03,3.98E+03,1.64E+03,5.27E+03,1.23E+04,2.02E+04
,5,1.21E+04,8.79E+03,4.92E+03,2.30E+04,2.74E+04,6.13E+05
,500mg,,,,,,
,1,6.80E+03,6.56E+03,4.45E+03,1.18E+04,1.35E+04,3.46E+04
,2,3.44E+03,4.34E+03,5.39E+03,6.45E+03,1.16E+04,3.81E+04
,3,1.76E+03,2.23E+03,3.52E+03,4.10E+03,6.91E+03,1.22E+04
,4,7.03E+02,1.64E+03,1.88E+03,3.75E+03,5.27E+03,4.80E+03
,5,7.03E+02,2.23E+03,1.05E+03,2.11E+03,4.34E+03,1.76E+03